customer_id,days_since_last_order,avg_order_count_weekly,avg_order_count_monthly,avg_order_total_weekly,avg_order_total_monthly
0002abc4-ca3b-4956-9123-f045f9464546,128,0,0,0,0
00061027-2323-4bbf-8697-2ab938719d78,10,0.1364,0.5455,12.264545,49.058182
000c52d5-e99d-477f-b205-2d3171101960,251,0,0,0,0
001457a8-7e5b-40ce-a715-423918ee4843,412,0,0,0,0
002460d7-a9fc-4bfe-a3ec-4fc05d0bbeb9,17,0.0588,0.2500,9.709804,41.266667
002aeea3-226a-4cfa-9bc6-95db0291da2d,41,0,0,0,0
002e5497-1b8a-47d8-ab92-172cfd497623,417,0,0,0,0
003692d5-a3b9-4023-8c0b-9adf8768b459,11,1.0000,4.0000,102.808750,411.235000
0039c54a-af9a-4bcb-bb0c-cc347151ccc6,5,1.7234,7.3636,120.987872,516.948182
004d06a3-80a7-4734-85c5-fb7cf3488e22,11,0.6522,2.5000,35.078696,134.468333
004f7bf7-1ff5-4c75-b289-0f9720dbe202,16,2.0000,2.0000,292.380000,292.380000
00508557-c490-4067-a21d-7482ad1b7a76,52,0.2222,0.8571,19.073704,73.570000
00542d07-f7f6-4acd-bdc5-33ac20694997,335,0,0,0,0
005554f6-5cb7-4f36-8d28-1dd3394fcf4f,151,0.5000,2.0000,121.725000,486.900000
00563e1f-6215-419f-b69f-ca1ad0ade33c,82,0,0,0,0
005e77b7-cf42-4a54-8ef6-f717a7d48d4f,399,1.0000,2.0000,95.695000,191.390000
0061d2ae-a403-44d3-be37-ebbbfbce60eb,59,0.8000,2.0000,36.342000,90.855000
0061d37c-f2a4-4b83-8560-3064c230205b,316,0,0,0,0
0072d02c-06f3-4615-bc4e-ec57799ca43b,372,0,0,0,0
0074bb98-3473-42c7-ac90-ae8569417739,25,0.1250,0.5000,16.623125,66.492500
007580dd-4c86-498b-a09e-2484a9fb0b18,242,0,0,0,0
00860c5f-b140-4d89-a07f-9574a7b429cd,194,0.1000,0.4000,8.877500,35.510000
008b9242-7423-43df-81d2-a6ba22a233b6,83,0.6000,1.5000,40.396000,100.990000
008da791-f31d-4fc2-be4d-1dea41568880,78,0.2308,1.0000,9.259231,40.123333
009145ea-b88c-4508-8d0f-0bbb6993d84b,185,0.2857,1.0000,18.054286,63.190000
00989c73-ab6b-4c3e-9ad8-57bebc5f73a6,70,0.1556,0.6364,8.645778,35.369091
009c9e68-b465-4bb3-bfe0-b835fc76aec2,57,0,0,0,0
00a338e7-b544-4ab6-a5ae-78aa2c66c988,350,0,0,0,0
00a8c95e-4e27-4274-936d-40d2131c7c5f,96,0,0,0,0
00a96e38-a83d-446b-9585-c255aebfae3a,127,0,0,0,0
00b126ec-1601-4c10-b946-700ef4f1d02f,6,1.0968,4.2500,95.995484,371.982500
00b337e7-ecf9-45bd-ace4-b5eafbf11af2,46,0,0,0,0
00ba14b4-6711-41ff-94c5-16afee1be6a4,45,0.2353,1.0000,15.333529,65.167500
00c08032-7284-4307-8fd8-b90b34449bdb,92,0,0,0,0
00cad3b0-3d5c-4795-8420-a88d1a1cf2b4,24,0.1923,0.7143,12.595000,46.781429
00cbe790-bd9b-4b03-8974-c9b57029ecb4,91,0.2195,0.9000,84.617073,346.930000
00cdb223-9942-4f3d-bd4e-5523f327b591,5,0.4242,1.7500,45.661515,188.353750
00dbd9af-51a5-4028-a7cf-2b703230e098,15,0.5714,2.4000,101.410952,425.926000
00dcc3ff-5286-4e2b-b370-86821e7e6e05,169,0,0,0,0
00dd3d88-860c-4e92-9bfd-2f24cf410465,131,0.5714,2.2857,29.915357,119.661429
00e8ebaf-cc4c-4057-8432-938c38aac087,26,0.5161,2.0000,68.926452,267.090000
00ef4e89-6763-4a7b-99ad-5e3531d467dd,185,0.2609,1.0000,23.352174,89.516667
00fddb21-18ff-4731-9bc2-75789e2e4093,126,0.0870,0.3333,7.019130,26.906667
00ffcfd4-5664-4e94-a987-4bdbe1035b5b,83,0,0,0,0
0100af92-7ca8-4b89-8d8a-8dc6c4235197,389,0,0,0,0
01147709-0e13-4228-827a-f5e6e04c8dbe,6,1.0000,4.2500,86.671765,368.355000
011d46d7-f993-4fbd-b2db-f6eba93e762a,223,0.1765,0.7500,21.025294,89.357500
012ed67e-0999-4a31-964f-e701a80cc124,112,0,0,0,0
012f485c-ef4c-4bd5-bf7a-c07dac391521,143,0.1429,0.5000,6.681429,23.385000
01317ef1-b477-4cbb-9bbf-c7a4c9ca7e18,40,0.8333,3.5714,16.788333,71.950000
01392b70-24d7-4fc2-98b7-22dcb3c2c69e,23,0.2800,1.1667,40.981600,170.756667
013d5545-41bf-4489-b566-8cc38af2a2ad,50,1.1698,4.7692,87.926604,358.470000
013ff000-7c8e-4d8f-bd93-56c7b14042f9,233,0,0,0,0
014176f5-8772-4ae4-b103-abbf7ca648b4,8,2.8947,12.2222,221.766842,936.348889
01484e3b-b640-4dc1-9931-2916d9c925a3,321,0,0,0,0
014d20f1-df2b-425a-a493-f97605b7c892,180,1.0000,2.0000,67.135000,134.270000
015850ad-185c-4dee-a687-ef3c0c208ca0,79,0,0,0,0
015d2215-41bb-419b-b69d-4341ec674e3a,135,0.5000,1.5000,34.711667,104.135000
01648379-af2a-4b12-89e5-de8cdcd44cf0,13,0.3774,1.5385,35.287170,143.863077
0182d4cf-0673-4783-9a08-01942be4fdde,131,0.3750,1.5000,37.438750,149.755000
0184acc5-8038-404c-a436-474462429f44,239,1.0000,2.0000,173.920000,347.840000
01913b37-cf7f-44a0-b154-ae0a01ec9f06,7,1.4000,3.5000,46.940000,117.350000
0195a581-ca6c-4969-927d-6fb2e86ad4f0,84,0.2000,0.6667,29.881000,99.603333
019f1101-67ec-4144-96e4-3b58f81b7b21,82,0,0,0,0
019f55a7-b17c-4e06-85d4-3c619e8dc389,81,0.2143,0.7500,43.310714,151.587500
01a5eeea-0267-4a4a-b97f-25f24f48d7be,138,0,0,0,0
01a9a0d8-0508-419b-b0ff-d062cd3aa9ef,80,0.2222,1.0000,44.813333,201.660000
01ab2253-2c11-42d4-8682-8b4455c5db0f,23,1.3500,5.4000,94.069000,376.276000
01ae0b6c-3bb8-4325-bdfc-a98a91636689,40,0.3571,1.4286,33.678214,134.712857
01b28407-a9a6-4620-8f88-ffb7241da8c3,161,0,0,0,0
01bc14dc-d1d6-4db0-b77b-b35d30010184,144,0,0,0,0
01c34de1-ba17-4659-a806-f217c075eadd,26,0.0851,0.3636,5.616809,23.999091
01c398bb-dc1f-40b3-b42c-0dfa6c298a65,86,0,0,0,0
01c50d37-ed79-4b16-a331-49dfa969714a,64,0.6667,2.0000,12.990000,38.970000
01c9da67-d86e-4ee3-8340-249e4ac8e9c7,21,0.3333,1.2857,64.817407,250.010000
01c9dba5-8beb-45a3-b566-3271953f7db7,26,0.2813,1.1250,14.992188,59.968750
01d99444-d16f-4d6e-896f-5dbe39da3ea2,216,0,0,0,0
01de78a9-980a-437b-84f3-f614b219997d,120,1.5000,3.0000,194.685000,389.370000
01e04740-0ca4-46cf-9136-afc458dfb63e,54,0.1333,0.5714,20.232000,86.708571
01e850fb-85cc-4ea5-8f54-c725bae7bf66,20,0.1754,0.7143,10.786491,43.916429
01ff674a-0a22-439c-b913-e95b8665ccaa,47,0.1579,0.6000,12.801053,48.644000
02023179-001f-4687-bf11-432c3a2484ab,294,0,0,0,0
0203690f-1578-4957-a1e3-ebb14f590f00,110,0,0,0,0
0204f005-4910-4d03-ba51-7d008e300110,57,1.0000,4.0000,76.592115,306.368462
021d60a7-194b-4cd0-be4a-efcc46c1b895,23,0.2353,1.0000,3.778529,16.058750
022c63ad-b94f-45d4-b713-b69854b68832,170,0,0,0,0
02301b6e-0722-47f0-87b9-06b0a5005fe4,7,0.3600,1.5000,21.050400,87.710000
02320708-52a3-48c5-9a62-2fab8c6e99ff,41,0,0,0,0
02320df3-b51c-4bd3-a076-18014b44c0ef,277,0,0,0,0
0235c4b4-22e4-4b4d-a799-9d47966d2731,86,0,0,0,0
02394fce-00fe-4465-8e80-5145e8d8c9aa,10,0.6780,2.8571,170.569831,718.830000
0241a69a-a7fd-4c23-ae09-a333cc97b38c,27,1.0000,2.0000,134.755000,269.510000
024cc5c7-c666-4cfa-853e-7e1633634ef5,230,0,0,0,0
02519298-df0e-47a9-92f2-9fc00fcbc53e,388,1.0000,4.0000,26.552500,106.210000
0252a994-d179-4820-8a01-1f254c3d2399,320,0,0,0,0
02626e05-7a10-47f8-8aff-bb9d55c079de,206,0,0,0,0
026439e0-d7f9-4c27-a816-09dd18268898,161,0.3750,1.5000,41.617500,166.470000
02786f91-94fb-4f47-acd8-9e2ce4676ea5,61,0.2195,0.9000,35.000488,143.502000
02881771-2461-4902-90c2-a69f5a6a2f00,15,0.2424,1.0000,7.089091,29.242500
028edab0-9d78-46bf-b92f-31d6ecdf7aa2,113,0,0,0,0
02936e2c-ff47-46e2-825b-98f362bad185,302,0,0,0,0
029c5132-260f-4afc-8237-3a36d589878b,51,0.1538,0.6667,8.166346,35.387500
02a59983-6886-4e00-9abd-3e0a4fa141e1,102,0,0,0,0
02a9b611-5baf-42dc-a5f3-d190e7ffd80b,307,0.2857,1.0000,26.587143,93.055000
02b0da1c-1548-4592-9d99-dfcf66c00020,160,0.6667,2.0000,79.106667,237.320000
02b6848b-6cf4-44f1-801e-d60eab5ca6cb,97,0.2750,1.1000,6.301250,25.205000
02b71ada-71a7-4dce-af92-9b9d2e62e48d,75,0.2963,1.1429,56.971481,219.747143
02c1697e-1b22-46e1-99d6-ad561b294bbc,173,0,0,0,0
02c56efa-d084-44ca-b013-c77d464fe290,320,1.5000,3.0000,89.880000,179.760000
02c67e81-11e7-4ab6-9e6f-a7def5017b60,216,0,0,0,0
02c6ed2c-f0b0-4b7b-9271-b3aec2ab5651,265,0,0,0,0
02c8c645-16f3-4b28-897b-275b9d85ab02,64,0,0,0,0
02cecef0-2509-4051-a90e-5abdc5999146,289,0,0,0,0
02ced9c8-74c8-45a4-ab4a-52f0f53b2090,229,0.1818,0.6667,40.430909,148.246667
02e03127-0bbe-47e8-be8c-5d03d032014e,149,0.6667,2.0000,35.705000,107.115000
